,playerid,fname,lname,position,height,weight,birthday,country,school,draft_year,fullname,API_Names
0,1630173,Precious,Achiuwa,Forward,6-8,225,1999-09-19,Nigeria,Memphis,2020,Precious Achiuwa,Precious Achiuwa
2,1628389,Bam,Adebayo,Center-Forward,6-9,255,1997-07-18,USA,Kentucky,2017,Bam Adebayo,Bam Adebayo
3,1630534,Ochai,Agbaji,Guard,6-5,215,2000-04-20,USA,Kansas,2022,Ochai Agbaji,Ochai Agbaji
4,1630583,Santi,Aldama,Forward-Center,7-0,215,2001-01-10,Spain,Loyola-Maryland,2021,Santi Aldama,Santi Aldama
5,1629638,Nickeil,Alexander-Walker,Guard,6-5,205,1998-09-02,Canada,Virginia Tech,2019,Nickeil Alexander-Walker,Nickeil Alexander-Walker
6,1628960,Grayson,Allen,Guard,6-4,198,1995-10-08,USA,Duke,2018,Grayson Allen,Grayson Allen
7,1628386,Jarrett,Allen,Center,6-9,243,1998-04-21,USA,Texas,2017,Jarrett Allen,Jarrett Allen
8,1630631,Jose,Alvarado,Guard,6-0,179,1998-04-12,USA,Georgia Tech,2021,Jose Alvarado,Jose Alvarado
9,203937,Kyle,Anderson,Forward-Guard,6-9,230,1993-09-20,USA,UCLA,2014,Kyle Anderson,Kyle Anderson
10,203507,Giannis,Antetokounmpo,Forward,7-0,243,1994-12-06,Greece,Filathlitikos,2013,Giannis Antetokounmpo,Giannis Antetokounmpo
11,1628961,Kostas,Antetokounmpo,Forward,6-10,200,1997-11-20,Greece,University of Dayton,2018,Kostas Antetokounmpo,Giannis Antetokounmpo
12,203648,Thanasis,Antetokounmpo,Forward,6-7,219,1992-07-18,Greece,Panathinaikos,2014,Thanasis Antetokounmpo,Thanasis Antetokounmpo
13,1630175,Cole,Anthony,Guard,6-3,185,2000-05-15,USA,North Carolina,2020,Cole Anthony,Cole Anthony
14,1628384,O.G.,Anunoby,Forward,6-7,232,1997-07-17,United Kingdom,Indiana,2017,O.G. Anunoby,OG Anunoby
15,1627853,Ryan,Arcidiacono,Guard,6-3,195,1994-03-26,USA,Villanova,2017,Ryan Arcidiacono,Ryan Arcidiacono
